Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
18,Mammal,Orycteropus,Habitat loss,"Termites, Ants",Sub-Saharan Africa,Hair,7 months,Animalia,3 months,Orycteropus afer,Aardvark,Omnivore,40kph (25mph),Unknown,1,1.05m - 2.20m (3.4ft - 7.3ft),"Antbear, Earth Pig",Mammalia,Nocturnal,2 years,"Brown, grey, yellow",Cub,23 years,"Lions, Leopards, Hyenas",Can move up to 2ft of soil in just 15 seconds!,Aardvark,Tubulidentata,Solitary,Orycteropodidae,Sandy and clay soil,Least Concern,"Long, sticky tongue and rabbit-like ears",60kg - 80kg (130lbs - 180lbs),Chordata
2,Reptile,Alligator,Water pollution,"Fish, Snakes, Turtles",southern USA and China,Scales,,Animalia,,Alligator mississippiensis,Alligator,Carnivore,24kph (15mph),1 million/less than 100,,2.5cm - 4.5m (8ft - 15ft),Gator,Reptilia,Diurnal/Nocturnal,10 - 12 years,"Green, Grey, Black, Brown, Yellow",Hatchling,30 - 60 years,"Human, Birds, Raccoon",They have two sets of eyelids!,Alligator,Crocodilia,Solitary,Alligatoridae,Marsh and swampland,Least Concern,Muscular tail half the total body length,181kg - 363kg (400lbs - 800lbs),Chordata
1,Reptile,Geochelone,Habitat loss,"Grasses, Leaves, Flowers",Aldabra atoll in the Indian Ocean,Scales,,Animalia,,Geochelone gigantea,Aldabra Giant Tortoise,Herbivore,0.5kph (0.3mph),"200,000",,90cm - 120cm (3ft - 4ft),Giant Tortoise,Reptilia,Diurnal,20 - 30 years,"Black, Brown, Tan",Hatchling,80 - 255 years,"Giant Crab, Humans, Cats",One got to be 255 years old!,Aldabra Giant Tortoise,Testudines,Herd,Testudinidae,Grasslands and swamps,Vulnerable,"Large, high-domed shell",150kg - 250kg (330lbs - 550lbs),Chordata
21,Bird,,Lone-line fishing,,across the southern seas,Feathers,,Animalia,,Diomedeidae,Albatross,Carnivore,64kph (40mph),Low,,0.9m - 1.3m (35in - 51in),Tubenose,Aves,Diurnal,2 - 7 years,"Black, White, Brown, Red, Yellow",Chick,12 - 40 years,"Humans, Tiger Sharks",The largest wingspan of any bird!,Albatross,Procellariiformes,Colonial Nesting,Diomedeidae,southern waters and islands,Endangered,"Long, hook-tipped beak",8kg - 10kg (17lbs - 22lbs),Chordata
1,Mammal,Lycaon,Habitat loss,"Antelope, Warthog, Rodents",sub-Saharan Africa,Fur,70 days,Animalia,3 months,Lycaon pictus,African Wild Dog,Carnivore,72kph (45mph),"Less than 5,000",8,75cm - 110cm (29in - 43in),"Hunting Dog, Painted Dog, Painted Wolf",Mammalia,Crepuscular,12 - 18 months,"Grey, Black, White, Brown, Tan, Gold, Red",Pup,10 - 13 years,"Lions, Hyenas, Humans",Also known as the painted dog!,African Wild Dog,Carnivora,Pack,Canidae,Open plains and savanna,Endangered,Four toes on each foot rather than five,17kg - 36kg (39lbs - 79lbs),Chordata
,,Nectophryne,,"Insects, Worms, Snails",Central Africa,Permeable,,Animalia,,Nectophryne afra,African Tree Toad,Carnivore,8km/h (5mph),,,2.5cm - 3.8cm (1in - 1.5in),,Amphibia,Solitary,,"Brown, Black, White, Tan",,3 - 5 years,"Fish, Toads, Birds",,,Anura,,Bufonidae,Tropical lowland forest,Least Concern,,2g - 5g (0.07oz - 0.18oz),Chordata
1,Mammal,Nandinia,Habitat loss,"Rodents, Snakes, Frogs",eastern Africa,Fur,64 days,Animalia,2 months,Nandinia binotata,African Palm Civet,Omnivore,,Locally abundant,2,,Two-Spotted Palm Civet,Mammalia,Crepuscular,2 - 3 years,"Black, White, Grey, Yellow, Brown, Tan",Pup,15 - 20 years,"Lions, Snakes, Leopards",Solitary but gathers in groups!,African Palm Civet,Carnivora,Solitary,Nandiniidae,Tropical rainforest,Least Concern,"Snout with sharp, pointed teeth",1.4kg - 4.5kg (3lbs - 10lbs),Chordata
1,Bird,Spheniscus,Habitat disruption,"Fish, Squid, Crustaceans",south-west African coast,Feathers,,Animalia,,Spheniscus demersus,African Penguin,Carnivore,20kph (12.4mph),"140,000",,,Jackass Penguin,Aves,Diurnal,3 - 4 years,"Black, White, Grey",Chick,10 - 15 years,"Sharks, Fur Seals, Gulls",The only penguin species in Africa!,African Penguin,Sphenisciformes,Colony,Spheniscidae,Rocky Ocean Islands,Endangered,Pink glands above their eyes,2kg - 5kg (4.4lbs - 11lbs),Chordata
1,Mammal,Equus,Habitat loss and commercial breeding ,"Grasses, Herbs, Fruits","Africa, Zoos",Fur,11 months,Animalia,5 - 6 months,Equus zebra x Equus caballus,Zorse,Herbivore,64kph (40mph),Not known,0,,,Mammalia,Diurnal,1 - 2 years,"Tan, Brown, Black, Red, White, Grey",Foal,15 - 30 years,"Lions, Leopards, Wolves",The offspring of a Zebra and Horse parents!,Zorse,Perissodactyla,Herd,Equidae,Open grasslands and woodland ,Not Listed,Unique dark stripes are boldest on legs,227kg - 450kg (500lbs - 992lbs),Chordata
1,Mammal,Equus,Habitat loss and commercial breeding,"Grasses, Herbs, Fruit","Africa, Zoos",Fur,12 months,Animalia,5 - 10 months,Equus zebra x Equus asinus,Zonkey,Herbivore,54kph (35mph),Not known,0,,"Zedonk, Zebrass, Zenkey",Mammalia,Diurnal,1 - 2 years,"Brown, Tan, Grey",Foal,15 - 25 years,"Lion, Hyena, Leopard",The offspring of Zebra and Donkey parents!,Zonkey,Perissodactyla,Herd,Equidae,Savanna and open woodland,Not Listed,Unique stripes darkest on belly and legs,227kg - 318kg (500lb - 700lbs),Chordata
,,Bos,,,,Leather,,Animalia,,Bos Primigenius Indicus,Zebu,Herbivore,40km/h (25mph),,1,,,Mammalia,Herd,,"Brown, Black, White",,12-16 years,"Human, Bears, Wildcats",,,Artiodactyla,,Bovidae,Tropical jungles and open plains,Least Concern,,150-200kg (331-440lbs),Chordata
,,Stegostoma,,,,Smooth,,Animalia,,Stegostoma Fasciatum,Zebra Shark,Omnivore,,,10,,,Chondrichthyes,,,"Brown, Black, Yellow, White, Grey",,15-20 years,"Large Sharks, Humans",,,Orectolobiformes,,Stegostomatidae,"Tropical, coastal waters",Threatened,,16-20kg (35-44lbs),Chordata
3,Mammal,Equus,Habitat loss,"Grasses, Leaves, Buds",Eastern and Southern Africa,Hair,10 - 12 months,Animalia,11 months,"Equus zebra, Equus quagga, Equus grevyi",Zebra,Herbivore,40kph (25mph),Declining,1,2m - 2.75m (6.6ft - 9ft),"Mountain Zebra, Common Zebra, Plains Zebra, Burchells Zebra, Grevys Zebra",Mammalia,Diurnal,3 - 4 years,"Black, White, Brown",Foal,20 - 30 years,"Lions, Leopards, Hyenas",Stripe patterns are unique to each individual!,Zebra,Perissodactyla,Herd,Equidae,Open grassland and plains,Endangered,"Long, slender legs and one toe on each foot",220kg - 405kg (485lbs - 893lbs),Chordata
,,Megadyptes,,,,Feathers,,Animalia,,Megadyptes Antipodes,Yellow-Eyed Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey, Brown, Yellow",,10 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Endangered,,5kg - 8kg (11lbs - 18lbs),Chordata
